#scan;iMeasureCycle=1;iMux=0;time=0.143;N=482;LocalTime=31/10/2023 16:43:28;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (^1/2)
22.4999;-9.54E-11;49.695471;1;2.86E-05;49.695471;;;0.005347897
22;-8.31E-11;49.845454;1;2.83E-05;49.845454;;;0.005319774
21.4999;-9.42E-11;50.019969;1;2.80E-05;50.019969;;;0.005291503
21;-1.29E-10;50.169908;1;2.76E-05;50.169908;;;0.00525357
20.5;-1.10E-10;50.31987;1;2.73E-05;50.31987;;;0.00522494
19.9999;-9.91E-11;50.469716;1;2.70E-05;50.469716;;;0.005196152
19.5;-9.75E-11;50.637253;0.999999;2.66E-05;50.637253;;;0.005157519
19;-8.32E-11;50.78724;1;2.63E-05;50.78724;;;0.005128353
18.5;-8.90E-11;50.937126;1;2.59E-05;50.937126;;;0.005089204
17.9999;-1.04E-10;51.086987;1;2.56E-05;51.086987;;;0.005059644
17.5;-1.19E-10;51.23707;1;2.53E-05;51.23707;;;0.005029911
16.9999;-1.11E-10;51.386895;1;2.49E-05;51.386895;;;0.00498999
16.5;-1.22E-10;51.549707;1;2.46E-05;51.549707;;;0.004959839
15.9999;-1.60E-10;51.699749;1;2.43E-05;51.699749;;;0.004929503
15.5;-1.56E-10;51.849654;0.999999;2.39E-05;51.849654;;;0.004888763
15;-1.53E-10;52.029553;1;2.36E-05;52.029553;;;0.004857983
14.5;-1.41E-10;52.179431;1;2.33E-05;52.179431;;;0.004827007
13.9999;-1.41E-10;52.329266;1;2.29E-05;52.329266;;;0.004785394
